               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 137,            0.022256,           0.0096195,          0.00044576,             0.94655,             0.90534,             0.94432,              0.6081,            0.027248,           0.0059101,          0.00064197,            0.001024,            0.001024,            0.001024
                 138,            0.022002,           0.0094427,          0.00038487,             0.94587,             0.90487,             0.94343,             0.60778,            0.027239,           0.0059134,          0.00064205,            0.000958,            0.000958,            0.000958
                 139,            0.021602,           0.0092886,          0.00039175,             0.94729,             0.90286,             0.94295,             0.60806,            0.027236,           0.0059164,          0.00064517,            0.000892,            0.000892,            0.000892
                 140,            0.021935,           0.0095136,          0.00045028,              0.9456,             0.90405,             0.94385,             0.60802,            0.027228,           0.0059187,          0.00065128,            0.000826,            0.000826,            0.000826
                 141,            0.021744,           0.0092726,           0.0004257,             0.94721,             0.90447,             0.94489,             0.60837,            0.027222,            0.005923,          0.00065797,             0.00076,             0.00076,             0.00076
                 142,            0.021788,           0.0093231,          0.00031634,             0.94843,             0.90472,               0.946,             0.60827,            0.027217,           0.0059276,           0.0006627,            0.000694,            0.000694,            0.000694
                 143,            0.021551,           0.0092954,          0.00032682,             0.94708,             0.90571,             0.94567,             0.60874,            0.027216,           0.0059349,          0.00066771,            0.000628,            0.000628,            0.000628
                 144,            0.021533,           0.0093345,          0.00035783,              0.9469,              0.9061,               0.945,             0.60877,            0.027214,           0.0059414,          0.00067543,            0.000562,            0.000562,            0.000562
                 145,            0.021425,           0.0093051,          0.00036616,             0.94684,             0.90603,             0.94508,             0.60879,             0.02721,           0.0059481,          0.00068121,            0.000496,            0.000496,            0.000496
                 146,            0.021182,           0.0092819,          0.00039113,             0.94699,             0.90571,             0.94523,             0.60831,            0.027208,           0.0059546,          0.00068757,             0.00043,             0.00043,             0.00043
                 147,             0.02122,           0.0090983,          0.00030176,             0.94532,             0.90529,             0.94435,             0.60827,            0.027208,           0.0059603,           0.0006926,            0.000364,            0.000364,            0.000364
                 148,            0.021221,           0.0091283,          0.00032738,             0.94574,             0.90627,             0.94441,             0.60834,            0.027206,           0.0059661,            0.000697,            0.000298,            0.000298,            0.000298
                 149,             0.02087,           0.0091755,          0.00036259,             0.94636,             0.90649,             0.94464,             0.60852,            0.027207,           0.0059715,          0.00070212,            0.000232,            0.000232,            0.000232
